bookId,Book,Author,Genres
130,The Fountainhead,Ayn Rand,"['Fiction', 'Classics', 'Philosophy', 'Literature', 'Novels', 'Politics', 'Architecture']"
131,The Lovely Bones,Alice Sebold,"['Fiction', 'Mystery', 'Young Adult', 'Contemporary', 'Fantasy', 'Crime', 'Thriller']"
132,Alice in Wonderland,Jane Carruth,"['Classics', 'Fantasy', 'Fiction', 'Childrens', 'Young Adult', 'Adventure', 'Literature']"
133,The Call of the Wild,Jack London,"['Classics', 'Fiction', 'Adventure', 'Young Adult', 'Animals', 'Historical Fiction', 'Literature']"
134,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,"['Fiction', 'Mystery', 'Thriller', 'Crime', 'Mystery Thriller', 'Suspense', 'Contemporary']"
135,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,"['Fantasy', 'Fiction', 'Classics', 'Adventure', 'High Fantasy', 'Science Fiction Fantasy', 'Epic Fantasy']"
136,The Five People You Meet in Heaven,Mitch Albom,"['Fiction', 'Inspirational', 'Contemporary', 'Fantasy', 'Classics', 'Spirituality', 'Adult']"
137,Animal Farm / 1984,George Orwell,"['Classics', 'Fiction', 'Dystopia', 'Literature', 'Science Fiction', 'Politics', 'Fantasy']"
138,Perfume: The Story of a Murderer,Patrick Süskind,"['Fiction', 'Classics', 'Historical Fiction', 'Horror', 'Mystery', 'Thriller', 'Crime']"
139,"Angela's Ashes (Frank McCourt, #1)",Frank McCourt,"['Nonfiction', 'Memoir', 'Biography', 'Classics', 'Ireland', 'Autobiography', 'Biography Memoir']"
140,"The Wonderful Wizard of Oz (Oz, #1)",L. Frank Baum,"['Classics', 'Fantasy', 'Fiction', 'Childrens', 'Young Adult', 'Adventure', 'Middle Grade']"
141,"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,"['Fantasy', 'Fiction', 'Classics', 'Adventure', 'High Fantasy', 'Science Fiction Fantasy', 'Epic Fantasy']"
142,Love You Forever,Robert Munsch,"['Picture Books', 'Childrens', 'Fiction', 'Classics', 'Family', 'Love', 'Kids']"
143,Bridge to Terabithia,Katherine Paterson,"['Fiction', 'Young Adult', 'Classics', 'Fantasy', 'Childrens', 'Middle Grade', 'Realistic Fiction']"
144,A Prayer for Owen Meany,John Irving,"['Fiction', 'Classics', 'Contemporary', 'Literature', 'Literary Fiction', 'Novels', 'Historical Fiction']"
145,The Road,Cormac McCarthy,"['Fiction', 'Science Fiction', 'Dystopia', 'Post Apocalyptic', 'Classics', 'Horror', 'Literature']"
146,The Divine Comedy,Dante Alighieri,"['Classics', 'Poetry', 'Fiction', 'Literature', 'Philosophy', 'Religion', 'Fantasy']"
147,A Midsummer Night's Dream,William Shakespeare,"['Classics', 'Plays', 'Fiction', 'Fantasy', 'Drama', 'School', 'Romance']"
148,A Story of Yesterday,Sergio Cobo,"['Spanish Literature', 'Thriller', 'European Literature', 'Mystery', 'Magical Realism', 'Fiction', 'Drama']"
149,The Prophet,Kahlil Gibran,"['Poetry', 'Classics', 'Philosophy', 'Fiction', 'Spirituality', 'Religion', 'Literature']"
150,Persuasion,Jane Austen,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Literature', 'Historical', 'Audiobook']"
151,The Name of the Rose,Umberto Eco,"['Fiction', 'Historical Fiction', 'Mystery', 'Classics', 'Historical', 'Literature', 'Italian Literature']"
152,"The Three Musketeers (The D'Artagnan Romances, #1)",Alexandre Dumas,"['Classics', 'Fiction', 'Historical Fiction', 'Adventure', 'France', 'Literature', 'Historical']"
153,Water for Elephants,Sara Gruen,"['Fiction', 'Historical Fiction', 'Romance', 'Historical', 'Adult', 'Adult Fiction', 'Contemporary']"
154,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,"['Fantasy', 'Young Adult', 'Fiction', 'Childrens', 'Adventure', 'Middle Grade', 'Science Fiction']"
155,The Boy in the Striped Pajamas,John Boyne,"['Historical Fiction', 'Fiction', 'Young Adult', 'Historical', 'Classics', 'Holocaust', 'War']"
156,"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,"['Historical Fiction', 'Fiction', 'Historical', 'Fantasy', 'Classics', 'Medieval', 'Audiobook']"
157,How the Grinch Stole Christmas!,Dr. Seuss,"['Childrens', 'Picture Books', 'Christmas', 'Classics', 'Fiction', 'Poetry', 'Fantasy']"
158,Jonathan Livingston Seagull,Richard Bach,"['Fiction', 'Classics', 'Philosophy', 'Fantasy', 'Spirituality', 'Inspirational', 'Self Help']"
159,Oliver Twist,Charles Dickens,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', '19th Century', 'Novels', 'Classic Literature']"
160,The Secret Life of Bees,Sue Monk Kidd,"['Fiction', 'Historical Fiction', 'Young Adult', 'Classics', 'Historical', 'Contemporary', 'Adult Fiction']"
161,"The Notebook (The Notebook, #1)",Nicholas Sparks,"['Romance', 'Fiction', 'Chick Lit', 'Contemporary', 'Adult', 'Adult Fiction', 'Classics']"
